timestamp,test-class,test-method,time,description,result
"2022-05-31 19:09:37.706","acme.testing.inventor.xx1.InventorXx1CreateTest","positiveTest",22880,""[1] itemRecordIndex=17, recordIndex=0, code=po21-220531, xx3=Prueba xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/07/01 00:00, xx52=2022/07/12 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","OK"
"2022-05-31 19:09:43.57","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5441,""[1] itemRecordIndex=17, recordIndex=0, code=null, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:09:49.327","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5298,""[2] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=null, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:09:55.534","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5724,""[3] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=null, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:01.649","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5709,""[4] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=null, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:08.253","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",6159,""[5] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=null, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:14.121","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5438,""[6] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=null, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:19.906","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5372,""[7] itemRecordIndex=17, recordIndex=0, code=po21-210412, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:25.614","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5248,""[8] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:31.203","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5186,""[9] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto texto, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:36.842","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5248,""[10] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/04/30 00:00, xx52=2022/07/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:43.419","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",6160,""[11] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/02/10 00:00, xx6=EUR 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:49.245","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",5439,""[12] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=EUR -15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
"2022-05-31 19:10:55.721","acme.testing.inventor.xx1.InventorXx1CreateTest","negativeTest",6046,""[13] itemRecordIndex=17, recordIndex=0, code=po21-220529, xx3=Primer xx1, xx4=Esta es una entidad creada para el Control Check de DP, xx51=2022/06/30 00:00, xx52=2022/07/10 00:00, xx6=BTC 15,000.00, xx7=https://www.twitch.tv"","Listing was expected to be empty"
